from,to,value,blockNumber
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xe55cE0f58392aC4Dc52F991cb90eAa55636621da,9453287880789040769738,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,497541467409949514196,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xeDe24eF94608b4Fe2747a9923802E7A233a5f231,638910529228854680509,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,33626869959413404237,18143856
0x123be6A10E40f595b109945Be6cB82763b4A2e86,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,7859196078944373584266,18143856
0x123be6A10E40f595b109945Be6cB82763b4A2e86,0x987041FB536942bBc686ad7DBc7046D277881FeE,413641898891809136013,18143856
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143856
0x249896686aaCa568Ce8F2aDe0Aa6C7B9C85b4376,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,22706602097859450136472,18143856
0x249896686aaCa568Ce8F2aDe0Aa6C7B9C85b4376,0x987041FB536942bBc686ad7DBc7046D277881FeE,1195084320939971059814,18143856
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143856
0xc68Bff79073939C96C8eDb1c539b5362Be1F64d1,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,6879006618349152294692,18143856
0xc68Bff79073939C96C8eDb1c539b5362Be1F64d1,0x987041FB536942bBc686ad7DBc7046D277881FeE,362052979913113278668,18143856
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143856
0x5714c02A8C237E97228fAeAA2f9df498468b22D0,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,65581098316579126255667,18143856
0x5714c02A8C237E97228fAeAA2f9df498468b22D0,0x987041FB536942bBc686ad7DBc7046D277881FeE,3451636753504164539771,18143856
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xc68Bff79073939C96C8eDb1c539b5362Be1F64d1,4757528678745025697598,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,250396246249738194610,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xb4323dCe6E251daD9d835a49A705A957e2516494,52329923094128795770071,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2754206478638357672109,18143856
0x280fc7Ef67F17F059875363Db165C39aCaec91c1,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,6142529278571241855417,18143856
0x280fc7Ef67F17F059875363Db165C39aCaec91c1,0x987041FB536942bBc686ad7DBc7046D277881FeE,323291014661644308179,18143856
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x93A6EDBc2410CBA6D18AaaDc1a356D7B284454eC,1358334572616735590350,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,71491293295617662650,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x164C09f9384dA3D523658BF3E5Bbc2142E105deC,53907308746831892361,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2837226776149046966,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x123be6A10E40f595b109945Be6cB82763b4A2e86,8272837977836182720279,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,435412525149272774751,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xB1C554D7124E6A90DbFF62498Be3a198d4d395f9,14267613899614026478719,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,750927047348106656774,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x1F62Baa8f9540da0fAf69fAFb3d76450cB28F348,5852405139704714051534,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,308021323142353371133,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x6504705bf8113d536e4E3a6a869cC3F368a98685,15088019231311983380786,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,794106275332209651620,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x9BdA6a7348dF0f690BF13DCC8668F1f3164f1D2a,6225174381879372490218,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,327640756941019604748,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x5714c02A8C237E97228fAeAA2f9df498468b22D0,69032735070083290795438,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,3633301845793857410286,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xB6dEAe15BA48C541b36C94704BcbA9F833511d5a,3830630809229765041823,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,201612147854198160095,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xfEfea9427Bef554Cc572bC4E887a0b9642fd8f4E,19742481446287041834002,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1039077970857212728105,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x0A61438cd4f34405fafa25e4da7412c1d2d7ff6e,20780532731539784714610,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1093712249028409721821,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x5B0Bf93cBbe9A88368f220b6FA9bC75A5D2D25f9,8621207203245275995271,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,453747747539225052382,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xCB0660fd1D52Af2C03295A892C9BDD8690478774,8761924900002962920865,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,461153942105419101098,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x280fc7Ef67F17F059875363Db165C39aCaec91c1,8951244457545535174776,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,471118129344501851304,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x2D86499A410a9ac2139833Ba8d6942b8A8700a7B,11523219632712580821031,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,606485243826977937948,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x249896686aaCa568Ce8F2aDe0Aa6C7B9C85b4376,23901686418799421196286,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1257983495726285326120,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xE368F233DFfdAfa26c168CCdA3581860eE51EE76,18728549373724205162203,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,8026521160167516498087,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xBE3797B94487e0B7A4C10f191ca9DE4eBB58143A,2320894156259993330602,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,994668924111425713115,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x640f372A73554dbB68ADba5bba3Fc2864725EAd0,4726024601084544197509,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2025439114750518941789,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xc9cc623B61B8e8CC8603696aE93E172556589c79,4793764569402647548090,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2054470529743991806324,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xeb467F831233c47b25877eaF895773C6031D7E71,2643603353524921995812,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1132972865796395141062,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x1d3a3248d8AC0E2A00BBB38A56D7CC5118D79f7F,797927159146544312564,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,341968782491376133955,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x272212B67b6803f198B927c1270C46e7F51474DA,1000060992715245626354,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,428597568306533839865,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xd3f4A503fDb79d7e5259C1111f63a21119e51D23,8108233241113473363077,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,3474957103334345727032,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x3332bF3af0082693366bd8a6BdeE00e6d018E60d,8304483605202214161203,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,3559064402229520354801,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xf549d315c836E06eD0B9800E4Be68A63F931711f,6361450672116128610693,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2726336002335483690297,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x8d9dDE0e0C9361C2914a57d9ed9061459CeE90c8,6479067606767711419514,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2776743260043304894077,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x9f6E73b0A98679458680d381E7f4948CFD72fb34,46460130455601801806774,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,19911484480972200774331,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xc68Bff79073939C96C8eDb1c539b5362Be1F64d1,2483530919517239875762,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1064370394078817089611,18143856
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x8C1Fe1dDC61ae82629019640EB28ef4470B7D714,7661544310521574190479,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,403239174237977588972,18143906
0x5cDf587e2ba4092e9370d2412C0aB85Cf8Fe65e0,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,1511450000000000000000,18143906
0x5cDf587e2ba4092e9370d2412C0aB85Cf8Fe65e0,0x987041FB536942bBc686ad7DBc7046D277881FeE,79550000000000000000,18143906
0x3332bF3af0082693366bd8a6BdeE00e6d018E60d,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,7889259424942103453143,18143906
0x3332bF3af0082693366bd8a6BdeE00e6d018E60d,0x987041FB536942bBc686ad7DBc7046D277881FeE,415224180260110708060,18143906
0xd3f4A503fDb79d7e5259C1111f63a21119e51D23,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,7702821579057799694924,18143906
0xd3f4A503fDb79d7e5259C1111f63a21119e51D23,0x987041FB536942bBc686ad7DBc7046D277881FeE,405411662055673668153,18143906
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18143906
0xB1C554D7124E6A90DbFF62498Be3a198d4d395f9,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,30675292682951084025541,18143906
0xB1C554D7124E6A90DbFF62498Be3a198d4d395f9,0x987041FB536942bBc686ad7DBc7046D277881FeE,1614489088576372843449,18143906
0x640f372A73554dbB68ADba5bba3Fc2864725EAd0,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,4489723371030316987634,18143906
0x640f372A73554dbB68ADba5bba3Fc2864725EAd0,0x987041FB536942bBc686ad7DBc7046D277881FeE,236301230054227209875,18143906
0xE368F233DFfdAfa26c168CCdA3581860eE51EE76,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,17791600000000000000000,18143906
0xE368F233DFfdAfa26c168CCdA3581860eE51EE76,0x987041FB536942bBc686ad7DBc7046D277881FeE,936400000000000000000,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xF299671F75cBfda0E4c25Fd8c2bD3aE23bB456DC,3161930793592305651671,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,166417410189068718508,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x5cDf587e2ba4092e9370d2412C0aB85Cf8Fe65e0,1591732490480965649703,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,83775394235840297352,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x3184BeB4154A8e576C799ddAE15258C461471DbC,1598979544405718217238,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,84156818126616748275,18143906
0xe55cE0f58392aC4Dc52F991cb90eAa55636621da,0xFa55216a7eE72c55Ab2E3d38145F10300e03eCd2,9453287880789040769738,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xb4323dCe6E251daD9d835a49A705A957e2516494,33583619241332845470466,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1767558907438570814235,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xB1C554D7124E6A90DbFF62498Be3a198d4d395f9,18022167871913430390271,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,948535151153338441593,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x7162bE7B6794466875132E7b44b633e9BBC1b6c4,10482319189197303700371,18143906
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,551701009957752826335,18143906
0xB6dEAe15BA48C541b36C94704BcbA9F833511d5a,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,3638500000000000000000,18143956
0xB6dEAe15BA48C541b36C94704BcbA9F833511d5a,0x987041FB536942bBc686ad7DBc7046D277881FeE,191500000000000000000,18143956
0x1F62Baa8f9540da0fAf69fAFb3d76450cB28F348,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,5559784882719478348958,18143956
0x1F62Baa8f9540da0fAf69fAFb3d76450cB28F348,0x987041FB536942bBc686ad7DBc7046D277881FeE,292620256985235702576,18143956
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x000007200ebC3260465698A693F7273bc982Ab99,1917382946307753188443,18143956
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,100914891910934378339,18143956
0x17Aa953Ec1330334C26A5d21838788a18a5738d7,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,6475200000000000000000,18143956
0x17Aa953Ec1330334C26A5d21838788a18a5738d7,0x987041FB536942bBc686ad7DBc7046D277881FeE,340800000000000000000,18143956
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x6970e67DaF257260FD74933beD6CF79cf58925E0,947023608976200901711,18143956
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,49843347840852679037,18143956
0x7F62359a4285881aBAC18a512015917dE9b0B546,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,1637942466142157939917,18144006
0x7F62359a4285881aBAC18a512015917dE9b0B546,0x987041FB536942bBc686ad7DBc7046D277881FeE,86207498218008312627,18144006
0x7162bE7B6794466875132E7b44b633e9BBC1b6c4,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,9958203229737438515353,18144006
0x7162bE7B6794466875132E7b44b633e9BBC1b6c4,0x987041FB536942bBc686ad7DBc7046D277881FeE,524115959459865185018,18144006
0x6970e67DaF257260FD74933beD6CF79cf58925E0,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,899672428527390856626,18144006
0x6970e67DaF257260FD74933beD6CF79cf58925E0,0x987041FB536942bBc686ad7DBc7046D277881FeE,47351180448810045085,18144006
0x1d3a3248d8AC0E2A00BBB38A56D7CC5118D79f7F,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,758030801189217096936,18144006
0x1d3a3248d8AC0E2A00BBB38A56D7CC5118D79f7F,0x987041FB536942bBc686ad7DBc7046D277881FeE,39896357957327215628,18144006
0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,20335765511053717064909,18144056
0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80,0x987041FB536942bBc686ad7DBc7046D277881FeE,1070303447950195634995,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x7455E93A59c054D3E650cD78548aDd6c9Bde444f,67924394822035126406352,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,3574968148528164547702,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80,21406069409363875436954,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,1126635232071782917734,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x7162bE7B6794466875132E7b44b633e9BBC1b6c4,9577840092889178692083,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,504096846994167299583,18144056
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x7162bE7B6794466875132E7b44b633e9BBC1b6c4,6922390635914040188565,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,364336349258633694135,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x873f826Cfe2663F078674e0fE01e6940DeFFb97b,2755374257762672068381,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,145019697776982740441,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x45Ce93D93717Be2926a062400E1B39ae188Ff8F5,10400837125767683175573,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,547412480303562272398,18144106
0x429Cf888dAE41D589D57F6Dc685707beC755fe63,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,16689386103306502065357,18144106
0x429Cf888dAE41D589D57F6Dc685707beC755fe63,0x987041FB536942bBc686ad7DBc7046D277881FeE,878388742279289582387,18144106
0x987041FB536942bBc686ad7DBc7046D277881FeE,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,10000000000000000000000,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x7455E93A59c054D3E650cD78548aDd6c9Bde444f,49242433027828985326289,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,2591707001464683438225,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x429Cf888dAE41D589D57F6Dc685707beC755fe63,17568278854679089748378,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,924646255509425776230,18144106
0x000007200ebC3260465698A693F7273bc982Ab99,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,1821150000000000000000,18144106
0x000007200ebC3260465698A693F7273bc982Ab99,0x987041FB536942bBc686ad7DBc7046D277881FeE,95850000000000000000,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0xC5BB73b5d10dEaCb6fe0d2Ccf7D46E950E30d3fC,6441992154804355996085,18144106
0x6412Fc4746eDe2B06604F6D80fEff915830aD517,0x987041FB536942bBc686ad7DBc7046D277881FeE,339052218673913473478,18144106
0xeb467F831233c47b25877eaF895773C6031D7E71,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,2511423185848675896022,18144156
0xeb467F831233c47b25877eaF895773C6031D7E71,0x987041FB536942bBc686ad7DBc7046D277881FeE,132180167676246099790,18144156
0x0e38fdD5E8A502f0ce1d30518aF8B09a1E30Ab3A,0x6412Fc4746eDe2B06604F6D80fEff915830aD517,18377750000000000000000,18144156
0x0e38fdD5E8A502f0ce1d30518aF8B09a1E30Ab3A,0x987041FB536942bBc686ad7DBc7046D277881FeE,967250000000000000000,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x4823547Aa0E1c5D6F569c2390896039ce3a00F8d,10002000000000000000000,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x59d97492437c768aB2BFD8846E904e97863983d3,11447553525744936943686,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x5DdF8B9002eb0a198f2d95AeecdC51212Bc865Bb,10050000000000000000000,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x155D5340DE7E1500B2CAB80D4AD195505DBc0Abb,10001000000000000000000,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x762e9cf6579937bA12235debAEF4fCCf765696C2,9143987580856809883253,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0xc8d7135357Ba4cDc6e8bBd19CD21E42c87eFdE16,23998995936023107659484,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0xE9201fd63ecdBc07dDC7C5085d3C17234A0D54f7,83612482102526257009010,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0xeA728f627a8ea6c16BdE03eEe4fD2f87Af4c4F32,2875322827203180017221,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0xd5AE777fF2aca716953dd3FC2C7aeDfF79B9B264,69427583267059828762668,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x1d9a60325CD837f84f42ceE66b3beb09ED29A86b,19993100000000000000000,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x6b08267F552a89f03a75A355f3Bf8CE3ACFe47F9,112868492196527549831234,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x87dCEDCdAeC12b31BA6038d3227a1210f8324580,120337387416891387475802,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x1A75ccA1C8397a24C44dF0F6CD3bB56d0E952B20,215867173400012789859440,18144156
0x74E6a65c6463F8cAd09e76d8850d7d945e5881Cc,0x7BC814982e09DE5A0FA8E37F81A643DF588732E9,77866224272647465045147,18144156
